hmm,rmse,nrmse,log_rmse,log_nrmse,rmse_prob,nrmse_prob,law,priors,P,K,flip_prob,gammas,betas,C,alpha,n_c,L,x_0
0,0.35027170181274414,0.5860145688056946,0.30945131182670593,-0.6187754273414612,0.08555949479341507,0.1517660915851593,logistic,,,2.2265477180480957,0.25,,,-0.686109721660614,,,3.121957778930664,0.7330790758132935
0,0.2562410831451416,0.19535832107067108,0.16323299705982208,0.987768828868866,0.05326780676841736,0.1936311274766922,bayesian_original,1.0,[0.3000406324863434],1.31326162815094,0.5,,,,,,,
0,0.25905507802963257,0.1975037157535553,0.1657659411430359,0.9986163377761841,0.05421597138047218,0.19707775115966797,bayesian_sampling,1.0,,1.31326162815094,0.5,0.3020066022872925,0.15100330114364624,,,,,
0,0.2577971816062927,0.19654469192028046,0.16462963819503784,0.9937673807144165,0.05379020422697067,0.19553007185459137,bayesian_scoring,1.0,,1.354521632194519,0.5,0.3011387586593628,0.1505693793296814,,,,,
0,0.2745152413845062,0.20929054915905,0.18012945353984833,1.0582128763198853,0.05963100865483284,0.21676167845726013,power,,,0.15172700583934784,0.5,,,5.313432693481445,1.4304382801055908,,,
0,0.27598151564598083,0.21040844917297363,0.18153735995292664,1.063865065574646,0.06016644835472107,0.21870803833007812,bounded,,,1.162487506866455,0.5,,,5.400393486022949,2.059152841567993,0.9676213264465332,,
0,0.2745014727115631,0.20928005874156952,0.1801304966211319,1.0581597089767456,0.059633929282426834,0.21677230298519135,logistic,,,2.034316301345825,0.5,,,0.15306508541107178,,,3.1427221298217773,0.9394562840461731
0,0.20201201736927032,0.11461273580789566,0.11434090882539749,0.35901540517807007,0.03467455133795738,0.19955186545848846,bayesian_original,1.0,[0.15207579731941223],1.31326162815094,0.75,,,,,,,
0,0.2015649676322937,0.11435910314321518,0.11409648507833481,0.3582209348678589,0.03460340574383736,0.1991424262523651,bayesian_sampling,1.0,,1.31326162815094,0.75,0.15219125151634216,0.07609561085700989,,,,,
0,0.20228485763072968,0.11476753652095795,0.11448990553617477,0.35950031876564026,0.03471788018941879,0.1998012214899063,bayesian_scoring,1.0,,1.1795485019683838,0.75,0.15200865268707275,0.07600434124469757,,,,,
0,0.16507546603679657,0.09365656226873398,0.09277275949716568,0.2933718264102936,0.028085982427001,0.1616346836090088,power,,,0.5700982213020325,0.75,,,2.7227396965026855,0.8308194875717163,,,
0,0.16836227476596832,0.09552135318517685,0.0949430912733078,0.29921314120292664,0.02880329079926014,0.165762796998024,bounded,,,1.8000909090042114,0.75,,,2.6742873191833496,1.2520557641983032,0.9999833106994629,,
0,0.16485971212387085,0.09353414922952652,0.0926320031285286,0.2929883897304535,0.028039703145623207,0.16136835515499115,logistic,,,1.0119152069091797,0.75,,,0.5738325119018555,,,2.279522180557251,0.8398684859275818
0,0.2912295162677765,0.3097347021102905,0.2768279016017914,-4.487368106842041,0.10121776908636093,0.258426696062088,bayesian_original,1.0,[0.29488688707351685],1.31326162815094,1.0,,,,,,,
0,0.2967221140861511,0.3155762851238251,0.2812766432762146,-4.572000026702881,0.10281889140605927,0.2625146210193634,bayesian_sampling,1.0,,1.31326162815094,1.0,0.2932133674621582,0.1466066837310791,,,,,
0,0.29311004281044006,0.31173470616340637,0.2783532440662384,-4.51634407043457,0.10176693648099899,0.2598288059234619,bayesian_scoring,1.0,,0.5486541986465454,1.0,0.2943124771118164,0.1471562385559082,,,,,
0,0.08028551191091537,0.0853869765996933,0.08373280614614487,-1.2370678186416626,0.030653096735477448,0.07826272398233414,power,,,-0.5881609320640564,1.0,,,4.064543724060059,0.44035422801971436,,,
